data;denominazione_provincia;struttura_di_ricovero;ricoverati_con_sintomi;terapia_intensiva;dimessi_guariti;deceduti
2020-03-21T17:00:00;Padova;Azienda Ospedale Università di Padova;84;32;62;8
2020-03-21T17:00:00;Padova;Azienda Ospedale Università di Padova - Ospedale S. Antonio;0;0;0;0
2020-03-21T17:00:00;Verona;Azienda Ospedaliera Universitaria Integrata di Verona - Borgo Roma;72;18;42;17
2020-03-21T17:00:00;Verona;Azienda Ospedaliera Universitaria Integrata di Verona - Borgo Trento;32;28;1;1
2020-03-21T17:00:00;Belluno;Ospedale Belluno;40;4;5;4
2020-03-21T17:00:00;Belluno;Ospedale di Comunità Belluno;0;0;0;0
2020-03-21T17:00:00;Belluno;Ospedale Feltre;9;0;2;2
2020-03-21T17:00:00;Belluno;Ospedale Agordo;6;0;1;0
2020-03-21T17:00:00;Treviso;Ospedale Treviso;121;22;83;42
2020-03-21T17:00:00;Treviso;Ospedale Oderzo;11;0;0;3
2020-03-21T17:00:00;Treviso;Ospedale Conegliano;53;11;5;6
2020-03-21T17:00:00;Treviso;Ospedale Vittorio Veneto °;52;0;0;1
2020-03-21T17:00:00;Treviso;Ospedale Castelfranco;24;0;0;5
2020-03-21T17:00:00;Treviso;Ospedale Montebelluna;20;5;0;2
2020-03-21T17:00:00;Treviso;Ospedale S. Camillo-Treviso °;0;0;0;0
2020-03-21T17:00:00;Venezia;Ospedale Mestre;45;12;8;10
2020-03-21T17:00:00;Venezia;Ospedale Venezia;14;7;7;5
2020-03-21T17:00:00;Venezia;Ospedale Mirano;0;14;8;3
2020-03-21T17:00:00;Venezia;Ospedale Dolo °;53;8;4;1
2020-03-21T17:00:00;Venezia;Ospedale Chioggia;0;0;0;1
2020-03-21T17:00:00;Venezia;Ospedale Villa Salus-Mestre °;9;0;0;0
2020-03-21T17:00:00;Venezia;Ospedale San Dona' di Piave;0;0;0;0
2020-03-21T17:00:00;Venezia;Ospedale Jesolo °;35;13;1;5
2020-03-21T17:00:00;Rovigo;Ospedale Rovigo;13;0;7;2
2020-03-21T17:00:00;Rovigo;Ospedale Trecenta °;0;3;0;0
2020-03-21T17:00:00;Rovigo;Ospedale Adria;0;0;0;0
2020-03-21T17:00:00;Padova;Ospedale Schiavonia °;103;18;19;12
2020-03-21T17:00:00;Padova;Ospedale Piove di Sacco;0;1;0;1
2020-03-21T17:00:00;Padova;Ospedale Cittadella;5;0;5;2
2020-03-21T17:00:00;Padova;Ospedale Camposampiero;0;0;0;0
2020-03-21T17:00:00;Padova;Casa di Cura Villa Maria - Padova;0;0;0;0
2020-03-21T17:00:00;Padova;Casa di Cura Villa Maria ODC - Padova;0;0;0;0
2020-03-21T17:00:00;Vicenza;Ospedale Santorso °;24;2;5;1
2020-03-21T17:00:00;Vicenza;Ospedale Bassano;17;6;0;6
2020-03-21T17:00:00;Vicenza;Ospedale Asiago;23;0;0;5
2020-03-21T17:00:00;Vicenza;Ospedale Vicenza;43;20;15;10
2020-03-21T17:00:00;Vicenza;Ospedale Noventa Vicentina;14;0;1;0
2020-03-21T17:00:00;Vicenza;Ospedale Arzignano;0;0;0;0
2020-03-21T17:00:00;Vicenza;Ospedale Valdagno;0;0;0;0
2020-03-21T17:00:00;Vicenza;Ospedale Lonigo;0;0;0;0
2020-03-21T17:00:00;Verona;Ospedale Legnago;29;8;0;3
2020-03-21T17:00:00;Verona;Ospedale San Bonifacio;10;0;0;0
2020-03-21T17:00:00;Verona;Ospedale Villafranca °;56;11;2;1
2020-03-21T17:00:00;Verona;Ospedale Marzana;0;0;0;0
2020-03-21T17:00:00;Padova;IRCCS - IOV;0;0;0;0
2020-03-21T17:00:00;Verona;Ospedale Sacro Cuore Don Calabria-Negrar;45;9;11;5
2020-03-21T17:00:00;Verona;Ospedale P. Pederzoli-Peschiera;22;5;4;0
