data;denominazione_provincia;struttura_di_ricovero;ricoverati_con_sintomi;terapia_intensiva;dimessi_guariti;deceduti
2020-04-10T17:00:00;Padova;Azienda Ospedale Universita' di Padova;103;18;196;42
2020-04-10T17:00:00;Padova;Azienda Ospedale Università di Padova - Ospedale S. Antonio;0;0;0;1
2020-04-10T17:00:00;Verona;Azienda Ospedaliera Universitaria Integrata di Verona - Borgo Roma;60;15;142;78
2020-04-10T17:00:00;Verona;Azienda Ospedaliera Universitaria Integrata di Verona - Borgo Trento;28;25;33;20
2020-04-10T17:00:00;Belluno;Ospedale Belluno;44;8;40;21
2020-04-10T17:00:00;Belluno;Ospedale Feltre;1;0;11;5
2020-04-10T17:00:00;Treviso;Ospedale Treviso;68;18;160;78
2020-04-10T17:00:00;Treviso;Ospedale Oderzo;10;6;14;9
2020-04-10T17:00:00;Treviso;Ospedale Conegliano;0;6;17;18
2020-04-10T17:00:00;Treviso;Ospedale Vittorio Veneto *;68;4;112;19
2020-04-10T17:00:00;Treviso;Ospedale Castelfranco;12;0;30;7
2020-04-10T17:00:00;Treviso;Ospedale Montebelluna;19;6;36;10
2020-04-10T17:00:00;Treviso;Ospedale S. Camillo-Treviso *;44;0;10;1
2020-04-10T17:00:00;Treviso;Ospedale civ. Motta di Livenza - Treviso;1;0;10;1
2020-04-10T17:00:00;Venezia;Ospedale Mestre;27;13;50;30
2020-04-10T17:00:00;Venezia;Ospedale Venezia;12;6;15;10
2020-04-10T17:00:00;Venezia;Ospedale Mirano;2;6;7;6
2020-04-10T17:00:00;Venezia;Ospedale Dolo *;88;10;53;34
2020-04-10T17:00:00;Venezia;Ospedale Chioggia;1;0;0;3
2020-04-10T17:00:00;Venezia;Ospedale Villa Salus-Mestre *;44;0;42;4
2020-04-10T17:00:00;Venezia;Ospedale San Dona' di Piave;1;0;0;0
2020-04-10T17:00:00;Venezia;Ospedale Jesolo *;42;6;45;21
2020-04-10T17:00:00;Venezia;Casa di Cura Rizzola;10;0;6;1
2020-04-10T17:00:00;Rovigo;Ospedale Rovigo;12;0;18;5
2020-04-10T17:00:00;Rovigo;Ospedale Trecenta *;42;10;3;7
2020-04-10T17:00:00;Rovigo;Ospedale Adria;1;0;0;0
2020-04-10T17:00:00;Padova;Ospedale Schiavonia *;106;15;156;60
2020-04-10T17:00:00;Padova;Ospedale Piove di Sacco;0;0;1;0
2020-04-10T17:00:00;Padova;Ospedale Cittadella;0;4;2;3
2020-04-10T17:00:00;Padova;Ospedale Camposampiero;5;0;1;5
2020-04-10T17:00:00;Vicenza;Ospedale Santorso *;132;13;59;28
2020-04-10T17:00:00;Vicenza;Ospedale Bassano;5;3;17;12
2020-04-10T17:00:00;Vicenza;Ospedale Asiago;2;0;7;10
2020-04-10T17:00:00;Vicenza;Ospedale Vicenza;61;21;65;49
2020-04-10T17:00:00;Vicenza;Ospedale Noventa Vicentina;19;0;22;0
2020-04-10T17:00:00;Vicenza;Ospedale Arzignano;0;0;0;1
2020-04-10T17:00:00;Vicenza;Ospedale Valdagno;17;0;5;3
2020-04-10T17:00:00;Verona;Ospedale Legnago;59;7;21;35
2020-04-10T17:00:00;Verona;Ospedale San Bonifacio;27;3;13;12
2020-04-10T17:00:00;Verona;Ospedale Villafranca *;113;12;73;34
2020-04-10T17:00:00;Verona;Ospedale Marzana;62;0;2;1
2020-04-10T17:00:00;Verona;Ospedale Bussolengo;15;0;0;0
2020-04-10T17:00:00;Verona;Ospedale Sacro Cuore Don Calabria-Negrar;75;8;60;24
2020-04-10T17:00:00;Verona;Ospedale P. Pederzoli-Peschiera;40;5;51;24
2020-04-10T17:00:00;Belluno;Ospedale di Comunità Belluno;15;0;9;4
2020-04-10T17:00:00;Belluno;Ospedale Agordo;15;0;1;1
2020-04-10T17:00:00;Treviso;Ospedale di Comunità Castelfranco;1;0;0;0
2020-04-10T17:00:00;Treviso;Centro Servizi Civitas Vitae - Vedelago;31;0;3;2
2020-04-10T17:00:00;Treviso;Centro Servizi Casa Luigi e Augusta - Ormelle;24;0;2;4
2020-04-10T17:00:00;Treviso;Ospedale di Comunità Vittorio Veneto;27;0;11;2
2020-04-10T17:00:00;Venezia;Casa di Cura Rizzola - OdC;7;0;3;0
2020-04-10T17:00:00;Padova;Casa di Cura Villa Maria ODC - Padova;12;0;11;1
2020-04-10T17:00:00;Padova;Ospedale di Comunità Camposampiero;8;0;10;0
2020-04-10T17:00:00;Vicenza;Ospedale di Comunità Marostica;18;0;2;2
2020-04-10T17:00:00;Vicenza;Ospedale Lonigo;0;0;0;0
2020-04-10T17:00:00;Padova;IRCCS - IOV;0;0;0;0
2020-04-10T17:00:00;Padova;Casa di Cura Villa Maria - Padova;0;0;0;0
2020-04-10T17:00:00;Verona;Ospedale Malcesine;0;0;0;0
