data;denominazione_provincia;struttura_di_ricovero;ricoverati_con_sintomi;terapia_intensiva;negativizzati_ricoverati;dimessi_guariti;deceduti
2020-04-25T08:00:00;Padova;Azienda Ospedale Universita' di Padova;62;11;33;274;56
2020-04-25T08:00:00;Padova;Azienda Ospedale Universita' di Padova - Ospedale S. Antonio;0;0;0;0;1
2020-04-25T08:00:00;Verona;Azienda Ospedaliera Universitaria Integrata di Verona - Borgo Roma;41;10;14;189;101
2020-04-25T08:00:00;Verona;Azienda Ospedaliera Universitaria Integrata di Verona - Borgo Trento;16;11;6;67;26
2020-04-25T08:00:00;Belluno;Ospedale Belluno;43;7;1;65;33
2020-04-25T08:00:00;Belluno;Ospedale Feltre;0;0;0;12;6
2020-04-25T08:00:00;Treviso;Ospedale Treviso;23;8;5;203;96
2020-04-25T08:00:00;Treviso;Ospedale Oderzo;6;3;3;18;18
2020-04-25T08:00:00;Treviso;Ospedale Conegliano;4;0;0;16;20
2020-04-25T08:00:00;Treviso;Ospedale Vittorio Veneto *;59;6;24;157;27
2020-04-25T08:00:00;Treviso;Ospedale Castelfranco;3;0;0;38;8
2020-04-25T08:00:00;Treviso;Ospedale Montebelluna;13;0;3;47;12
2020-04-25T08:00:00;Treviso;Ospedale S. Camillo-Treviso *;18;0;6;40;4
2020-04-25T08:00:00;Treviso;Ospedale civ. Motta di Livenza - Treviso;8;0;8;0;0
2020-04-25T08:00:00;Venezia;Ospedale Mestre;17;2;11;72;37
2020-04-25T08:00:00;Venezia;Ospedale Venezia;3;4;7;25;13
2020-04-25T08:00:00;Venezia;Ospedale Mirano;1;0;1;9;9
2020-04-25T08:00:00;Venezia;Ospedale Dolo *;71;6;22;86;64
2020-04-25T08:00:00;Venezia;Ospedale Chioggia;1;0;1;1;3
2020-04-25T08:00:00;Venezia;Ospedale Villa Salus-Mestre *;48;0;15;71;5
2020-04-25T08:00:00;Venezia;Ospedale San Dona' di Piave;1;0;1;0;0
2020-04-25T08:00:00;Venezia;Ospedale Jesolo *;28;5;12;69;24
2020-04-25T08:00:00;Venezia;Casa di Cura Rizzola;4;0;1;14;1
2020-04-25T08:00:00;Rovigo;Ospedale Rovigo;1;0;1;22;5
2020-04-25T08:00:00;Rovigo;Ospedale Trecenta *;40;3;7;12;22
2020-04-25T08:00:00;Rovigo;Ospedale Adria;2;0;2;1;0
2020-04-25T08:00:00;Padova;Ospedale Schiavonia *;93;5;7;214;90
2020-04-25T08:00:00;Padova;Ospedale Piove di Sacco;0;0;0;1;0
2020-04-25T08:00:00;Padova;Ospedale Cittadella;0;0;0;2;7
2020-04-25T08:00:00;Padova;Ospedale Camposampiero;4;0;2;2;7
2020-04-25T08:00:00;Padova;Ospedale Conselve;1;0;1;0;0
2020-04-25T08:00:00;Vicenza;Ospedale Santorso *;108;9;41;122;53
2020-04-25T08:00:00;Vicenza;Ospedale Bassano;0;0;0;20;13
2020-04-25T08:00:00;Vicenza;Ospedale Asiago;2;0;1;7;10
