data;denominazione_provincia;totale_casi;totale_casi_positivi;totale_deceduti;negativizzati;totale_tamponi
2020-03-08T17:00:00;Padova;171;0;0;0;0
2020-03-08T17:00:00;Comune di Vo';87;0;0;0;0
2020-03-08T17:00:00;Treviso;126;0;0;0;0
2020-03-08T17:00:00;Venezia;132;0;0;0;0
2020-03-08T17:00:00;Verona;66;0;0;0;0
2020-03-08T17:00:00;Vicenza;52;0;0;0;0
2020-03-08T17:00:00;Belluno;23;0;0;0;0
2020-03-08T17:00:00;Rovigo;6;0;0;0;0
2020-03-08T17:00:00;Domicilio fuori Veneto;0;0;0;0;0
2020-03-08T17:00:00;Assegnazione in corso;19;0;0;0;0
2020-03-09T08:00:00;Padova;184;0;0;0;0
2020-03-09T08:00:00;Comune di Vo';87;0;0;0;0
2020-03-09T08:00:00;Treviso;141;0;0;0;0
2020-03-09T08:00:00;Venezia;133;0;0;0;0
2020-03-09T08:00:00;Verona;79;0;0;0;0
2020-03-09T08:00:00;Vicenza;56;0;0;0;0
2020-03-09T08:00:00;Belluno;26;0;0;0;0
2020-03-09T08:00:00;Rovigo;6;0;0;0;0
2020-03-09T08:00:00;Domicilio fuori Veneto;0;0;0;0;0
2020-03-09T08:00:00;Assegnazione in corso;27;0;0;0;0
2020-03-09T17:00:00;Padova;186;0;0;0;0
2020-03-09T17:00:00;Comune di Vo';88;0;0;0;0
2020-03-09T17:00:00;Treviso;142;0;0;0;0
2020-03-09T17:00:00;Venezia;145;0;0;0;0
2020-03-09T17:00:00;Verona;87;0;0;0;0
2020-03-09T17:00:00;Vicenza;56;0;0;0;0
2020-03-09T17:00:00;Belluno;27;0;0;0;0
2020-03-09T17:00:00;Rovigo;6;0;0;0;0
2020-03-09T17:00:00;Domicilio fuori Veneto;0;0;0;0;0
2020-03-09T17:00:00;Assegnazione in corso;29;0;0;0;0
2020-03-10T08:00:00;Padova;207;0;0;0;0
2020-03-10T08:00:00;Comune di Vo';89;0;0;0;0
2020-03-10T08:00:00;Treviso;158;0;0;0;0
2020-03-10T08:00:00;Venezia;152;0;0;0;0
2020-03-10T08:00:00;Verona;96;0;0;0;0
2020-03-10T08:00:00;Vicenza;73;0;0;0;0
2020-03-10T08:00:00;Belluno;29;0;0;0;0
2020-03-10T08:00:00;Rovigo;10;0;0;0;0
2020-03-10T08:00:00;Domicilio fuori Veneto;0;0;0;0;0
2020-03-10T08:00:00;Assegnazione in corso;37;0;0;0;0
2020-03-10T17:00:00;Padova;241;0;0;0;0
2020-03-10T17:00:00;Comune di Vo';89;0;0;0;0
2020-03-10T17:00:00;Treviso;158;0;0;0;0
2020-03-10T17:00:00;Venezia;160;0;0;0;0
2020-03-10T17:00:00;Verona;106;0;0;0;0
2020-03-10T17:00:00;Vicenza;75;0;0;0;0
2020-03-10T17:00:00;Belluno;29;0;0;0;0
2020-03-10T17:00:00;Rovigo;10;0;0;0;0
2020-03-10T17:00:00;Domicilio fuori Veneto;0;0;0;0;0
2020-03-10T17:00:00;Assegnazione in corso;40;0;0;0;0
2020-03-11T08:00:00;Padova;284;0;0;0;0
2020-03-11T08:00:00;Comune di Vo';89;0;0;0;0
2020-03-11T08:00:00;Treviso;185;0;0;0;0
2020-03-11T08:00:00;Venezia;179;0;0;0;0
2020-03-11T08:00:00;Verona;110;0;0;0;0
2020-03-11T08:00:00;Vicenza;92;0;0;0;0
2020-03-11T08:00:00;Belluno;30;0;0;0;0
2020-03-11T08:00:00;Rovigo;14;0;0;0;0
2020-03-11T08:00:00;Domicilio fuori Veneto;0;0;0;0;0
2020-03-11T08:00:00;Assegnazione in corso;35;0;0;0;0
2020-03-12T08:00:00;Padova;358;0;0;0;0
2020-03-12T08:00:00;Comune di Vo';81;0;0;0;0
2020-03-12T08:00:00;Treviso;279;0;0;0;0
2020-03-12T08:00:00;Venezia;205;0;0;0;0
2020-03-12T08:00:00;Verona;150;0;0;0;0
2020-03-12T08:00:00;Vicenza;122;0;0;0;0
2020-03-12T08:00:00;Belluno;48;0;0;0;0
2020-03-12T08:00:00;Rovigo;13;0;0;0;0
2020-03-12T08:00:00;Domicilio fuori Veneto;20;0;0;0;0
2020-03-12T08:00:00;Assegnazione in corso;108;0;0;0;0
2020-03-12T17:00:00;Padova;420;0;0;0;0
2020-03-12T17:00:00;Comune di Vo';85;0;0;0;0
2020-03-12T17:00:00;Treviso;310;0;0;0;0
2020-03-12T17:00:00;Venezia;220;0;0;0;0
2020-03-12T17:00:00;Verona;170;0;0;0;0
2020-03-12T17:00:00;Vicenza;123;0;0;0;0
2020-03-12T17:00:00;Belluno;52;0;0;0;0
2020-03-12T17:00:00;Rovigo;13;0;0;0;0
2020-03-12T17:00:00;Domicilio fuori Veneto;20;0;0;0;0
2020-03-12T17:00:00;Assegnazione in corso;45;0;0;0;0
2020-03-13T08:00:00;Padova;441;0;0;0;0
2020-03-13T08:00:00;Comune di Vo';82;0;0;0;0
2020-03-13T08:00:00;Treviso;327;0;0;0;0
2020-03-13T08:00:00;Venezia;248;0;0;0;0
2020-03-13T08:00:00;Verona;210;0;0;0;0
2020-03-13T08:00:00;Vicenza;141;0;0;0;0
2020-03-13T08:00:00;Belluno;59;0;0;0;0
2020-03-13T08:00:00;Rovigo;16;0;0;0;0
2020-03-13T08:00:00;Domicilio fuori Veneto;25;0;0;0;0
2020-03-13T08:00:00;Assegnazione in corso;46;0;0;0;0
2020-03-13T17:00:00;Padova;450;0;0;0;0
2020-03-13T17:00:00;Comune di Vo';82;0;0;0;0
2020-03-13T17:00:00;Treviso;338;0;0;0;0
2020-03-13T17:00:00;Venezia;256;0;0;0;0
2020-03-13T17:00:00;Verona;239;0;0;0;0
2020-03-13T17:00:00;Vicenza;143;0;0;0;0
2020-03-13T17:00:00;Belluno;66;0;0;0;0
2020-03-13T17:00:00;Rovigo;16;0;0;0;0
2020-03-13T17:00:00;Domicilio fuori Veneto;26;0;0;0;0
2020-03-13T17:00:00;Assegnazione in corso;57;0;0;0;0
2020-03-14T08:00:00;Padova;529;0;0;0;0
2020-03-14T08:00:00;Comune di Vo';82;0;0;0;0
2020-03-14T08:00:00;Treviso;376;0;0;0;0
2020-03-14T08:00:00;Venezia;282;0;0;0;0
2020-03-14T08:00:00;Verona;275;0;0;0;0
2020-03-14T08:00:00;Vicenza;164;0;0;0;0
2020-03-14T08:00:00;Belluno;78;0;0;0;0
2020-03-14T08:00:00;Rovigo;27;0;0;0;0
2020-03-14T08:00:00;Domicilio fuori Veneto;29;0;0;0;0
2020-03-14T08:00:00;Assegnazione in corso;95;0;0;0;0
